,tweets,target
0,Pete Buttigieg Admits Only Recently Realizing Black People Can Vote  ,1
1,Mom Changes Words Of Prayer To Be More Cheerful  ,1
2,Macy’s Parade Float Covered In Tickets After Parking On 5th Avenue Over Holiday Weekend  ,1
3,Winter Storms Threaten Americans Traveling Back From Thanksgiving  #WhatDoYouThink? ,1
4,White House Begins Christmas Season With Ceremonial Lighting Of Cross  ,1
5,Coworkers Brought To Place Of Unthinkable Intimacy By Team-Building Exercise  ,1
6,Last-Ditch Dating Website Simply Asks Users To Check ‘Yes’ If They Have Open Sores  ,1
7,Weird Black Dot Actually Part Of Bowl  ,1
8,Nation's Couples Hit Rough Spell  ,1
9,Terrifying Man Selling Dead Trees Out Of Middle School Parking Lot  ,1
10,Hotel Lobby Treated To Entirety Of Child’s Song Catalogue During Check-In Process  ,1
11,Jefferson Starship Memorial Reopens On National Mall  ,1
12,Cat Totally Unaware Its Owner Aaron Eckhart  ,1
13,Hundreds Of People Who Will Die Before Christmas Really Excited For Holiday Season  ,1
14,Scientists Teach Sign Language To Gorilla-Suit-Wearing Man  ,1
15,Moon Now Overrun With Cane Toads After Species Accidentally Introduced Into Environment During Apollo 17 Mission… ,1
16,Grandma Amazed By How Fuckable Grandson Has Gotten Since She Saw Him Last  ,1
17,Man Hates Having To Wear Condoms All Day Every Day  ,1
18,Playtex Unveils New Line Of Quick-Dissolving Tampons  ,1
19,Great Mosque Of Mecca Hosts Annual Christmas Tree Lighting  ,1
20,Report: Shame Of Walking Out Without Buying Anything Drives 90% Of Purchases At Small Businesses… ,1
21,Gimp Tied To Pole On Curb Outside Coffee Shop While Owner Inside  ,1
22,"‘Support Small Business’ Demands Sign In Window Of Boutique Open Five Hours A Day, Three Days A Week… ",1
23,Family’s Euphemism For Genitals Really Weird  ,1
24,Report: More Americans Forced To Sell Gold Pocket Watch In Order To Afford Set Of Fine Combs For Wife… ,1
25,"20,000 Sacrificed In Annual Blood Offering To Corporate America  ",1
26,Report: 15% Of Cars In Mall Parking Lots Occupied By Family Member Who Stormed Off After Fight… ,1
27,Entire Shopping Mall Quietly Dreading Whatever Empty Stage Set Up For  ,1
28,Report: You Have Been Selected To Make A Purchase At The Onion Store  ,1
29,42 Million Dead In Bloodiest Black Friday Weekend On Record  ,1
